Услуга,Стоимость (от)
Брюки / Джинсы,
Укоротить низ (простая подгибка / с тесьмой),400 ₽ / 600 ₽
Укоротить джинсы с сохранением фабричного шва,900 ₽
Ушить по среднему шву (в талии),500 ₽
Ушить по боковым/шаговым швам,800 - 1 500 ₽
Замена молнии в брюках (без бочка),600 ₽
Юбки / Платья,
"Укоротить низ (прямой крой / солнце, клеш)",500 ₽ / 900 ₽
Ушить по фигуре (по среднему / по рельефам),600 ₽ / 1 200 ₽
Замена потайной молнии в платье/юбке,900 ₽
Обработка срезов оверлоком (за 1 метр),150 ₽
Рубашки / Блузки,
Замена воротника / манжет,от 1 000 ₽
Уменьшение плеча / перенос проймы,800 ₽
Подгонка рукавов по длине (с манжетой),700 ₽
